,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Average Pick
Denver Den - DEF,13.93,16.1,14.21,14.59,15.52,15.19,31.61,15.62,15.62,15.4,,18.58,15.59,19.69,14.78,18.49,20.02,0
Carolina Car - DEF,16.24,19.9,14.55,14.92,29.19,15.17,,14.99,18.88,14.82,15.5,15.86,9.78,15.47,15.1,20.12,19.3,0
Kansas City KC - DEF,14.17,13.73,14.61,13.73,,14.49,14.24,15.15,28.22,13.72,18.64,19.94,14.55,14.95,19.28,20.11,18.76,0
Seattle Sea - DEF,18.02,17.6,18.5,13.89,,18.19,13.15,13.89,13.53,27.9,18.96,18.02,13.05,13.32,17.88,13.42,18.55,0
Arizona Ari - DEF,13.6,18.66,14.38,18.07,19.64,15.44,14.01,14.4,,20.14,18.59,19.7,14.71,15.11,15.27,13.99,18.67,0
New York NYJ - DEF,12.9,17.71,17.31,12.66,26.4,12.95,14.63,17.62,13.93,18.05,,13.39,14.83,18.42,18.61,13.4,17.87,0
New England NE - DEF,12.59,18.43,13.7,27.14,13.21,13.09,13.6,13.79,,13.45,18.75,14.3,17.67,14.65,19.72,14.47,18.41,0
Pittsburgh Pit - DEF,13.27,13.32,14.63,12.98,14.43,13.86,13.49,,14.62,13.91,33.6,14.64,14.21,13.52,13.08,14.96,17.71,0
Cincinnati Cin - DEF,13.17,12.86,18.65,13.16,12.15,11.99,29.27,12.49,,13.6,16.82,13.88,13.26,16.66,12.65,17.01,17.73,0
Houston Hou - DEF,12.11,16.28,12.05,17.24,12.34,13.25,18.71,13.34,,18.41,18.08,12.93,12.61,13.67,17.9,16.43,17.97,0
Los Angeles LA - DEF,13.87,12.92,13.69,12.46,13.56,29.01,14.07,,12.97,14.59,18.56,13.73,13.11,14.21,13.01,18.71,13.31,0
Green Bay GB - DEF,13.6,12.8,13.63,,13.42,12.37,24.91,13.76,14.23,18.37,13.02,17.82,13.15,12.28,16.96,13.02,17.66,0
Oakland Oak - DEF,11.88,13.23,17.7,13.22,13.02,24.18,13.54,12.95,14.24,,13.01,12.24,12.63,12.01,13.23,14.1,18.56,0
Washington Was - DEF,9.16,13.32,13.82,12.97,14.48,14.5,13.87,26.34,,13.86,13.61,12.94,8.85,13.98,13.25,13.17,14.09,0
Detroit Det - DEF,13.38,17.57,12.72,12.45,13.31,16.31,12.36,12.88,25.6,,13.56,12.5,8.7,12.36,13.5,12.39,12.38,0
Tampa Bay TB - DEF,13.33,12.71,17.4,14.95,12.88,,14.15,14.65,14.08,13.89,13.12,12.98,13.86,13.66,13.05,13.76,13.09,0
New York NYG - DEF,8.01,13.34,12.94,12.35,12.9,14,17.15,,14.13,13.18,26.2,12.8,8.96,12.91,14.25,13.8,13.14,0
Minnesota Min - DEF,17.1,11.79,11.73,11.96,23.91,,12.84,12.05,12.48,12.61,11.66,12.78,11.62,13.29,13.44,12.35,16.21,0
Jacksonville Jax - DEF,11.6,12.35,12.9,12.99,,11.17,12.9,25.95,11.38,12.66,12.4,12.15,13.66,12.03,12.05,17.37,12.87,0
Tennessee Ten - DEF,12.05,12.64,13.06,23.64,12.71,11.65,13.62,13.53,12.49,12.6,13.24,11.95,,13.97,12.05,13.43,12.64,0
San Diego SD - DEF,11.21,12.99,12.62,11.7,12.69,13.19,12.4,13.67,12.64,24.68,,11.79,12.13,11.29,17.34,11.7,11.62,0
Atlanta Atl - DEF,11.59,12.34,11.39,10.76,13.52,10.89,12.38,11.98,11.97,21.85,,11.78,11.49,16.02,17.18,11.55,12.13,0
New Orleans NO - DEF,12.55,12.4,12.43,12.52,,7.51,11.91,12.13,12.94,14.54,24.35,16.68,8.97,12.52,8.06,12.84,13.05,0
Philadelphia Phi - DEF,12.52,12.52,8.76,,13.33,12.67,12.47,24.43,9.13,13.61,12.41,12.48,7.93,12.48,14.19,13.17,12.39,0
Buffalo Buf - DEF,12.21,12.19,11.06,10.41,15.62,11.83,11.98,20.87,10.67,,10.83,12.67,12.25,11.52,15.75,12.27,12.15,0
Cleveland Cle - DEF,12.87,13.29,12.75,11.83,7.69,12.68,11.47,13.17,7.72,13.55,24.35,12.81,,11.9,12.43,12.93,12.3,0
Indianapolis Ind - DEF,12.81,14.41,12.69,13.43,12.23,12.15,13.54,12.04,8.18,,17.59,12.45,9.14,12.49,12.49,13.82,13.42,0
Chicago Chi - DEF,10.21,15.85,10.02,11.09,11.29,10.89,21.57,10.41,,15.46,10.89,15.51,10.87,10.91,10.35,10.3,10.45,0
Miami Mia - DEF,10.55,10.22,11.01,10.65,23.29,6.74,11.57,,11.92,12.1,15.61,12.3,12.18,11.11,12.23,11.55,11.19,0
Baltimore Bal - DEF,10.94,14.83,11.86,11.4,10.63,10.57,11.34,,17.08,15.21,10.33,10.69,11.31,10.34,16.25,10.88,10.23,0
Dallas Dal - DEF,10.11,10.41,10.08,10.93,9.69,20.89,,11.04,9.99,10.72,10.99,10.11,10.17,10.76,14.94,10.99,15.34,0
San Francisco SF - DEF,14.37,9.68,9.69,9.72,9.72,10.02,10.49,,15.18,10.07,9.77,10.75,9.62,10.79,10.83,14.46,9.83,0
